Track name: Some("North loop - Real Plan")
2200
lat: (-81.16775,-78.95907) lng: (39.925,42.19699)
141
0.7317,"Forbes Field Wall","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/forbes-field-wall
0.2338,"Drake Well Museum","Titusville, Pennsylvania",https://www.atlasobscura.com/places/drake-well-museum
0.8278,"Gene Kelly's Pittsburgh Plaque","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/gene-kellys-pittsburgh-plaque
4.2702,"George A. Romero Bust","Monroeville, Pennsylvania",https://www.atlasobscura.com/places/george-romero-bust
8.6369,"Daffin's Chocolate Kingdom","Sharon, Pennsylvania",https://www.atlasobscura.com/places/daffins-chocolate-kingdom-pennsylvania
1.8377,"The Roberto Clemente Museum","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/roberto-clemente-museum
0.1169,"Bicycle Heaven","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/bicycle-heaven-1
0.6096,"The Fence","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/the-fence-pittsburgh-pennsylvania
0.7857,"Nine Mile Run","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/nine-mile-run
4.1017,"Pithole City","Pleasantville, Pennsylvania",https://www.atlasobscura.com/places/pithole-city
0.0721,"Paramount Film Exchange","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/paramount-film-exchange
0.8443,"Dr. Tumblety's Time-Inspired Specialty Shop","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/dr-tumbletys-time-inspired-specialty-shop
0.2039,"Frick Park Clay Courts","Pittsburgh, Pennsylvania",https://www.atlasobscura.com/places/frick-park-clay-courts
